"FDT_STA_ID","STA_LV3_CODE","STA_LV1_CODE","STA_REC_CODE","Deq_Region","STA_DESC","FDT_SSC_CODE","FDT_SPG_CODE","STA_LV2_CODE","Latitude","Longitude","Majorbasincode","Majorbasinname","Basin","Subbasin","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu5","Huc6_Vahu6","STA_CBP_NAME"
"2-ANG001.27","SSTUDY","STREAM","PRO","Blue Ridge","ANGOLA CREEK AT RT. 673",2,"RB","AMBNT",37.37472222,-78.26166667,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Angola Creek-Appomattox River",20802070402,"Appomattox River-Angola Creek","JA-D","JA16",NA
"2-APP085.85","ATRND","STREAM","SCRO","Blue Ridge","RT 621 BRIDGE - CUMBERLAND/AMELIA LINE",2,"TR","AMBNT",37.45222222,-78.14944444,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Little Guinea Creek-Appomattox River",20802070405,"Appomattox River-Little Guinea Creek","JA-D","JA19",NA
"2-APP110.93","ATRND","STREAM","SCRO","Blue Ridge","RT.45 BRIDGE AT FARMVILLE",45128,"CB","AMBNT",37.30725,-78.38925,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Bad Luck Branch-Appomattox River",20802070206,"Appomattox River-Bad Luck Branch","JA-B","JA09",NA
"2-APP118.04","ATRND","STREAM","SCRO","Blue Ridge","RT.15 BRIDGE W OF FARMVILLE (PRINCE EDWA",2,"TR","AMBNT",37.34033333,-78.47155833,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Ducker Creek-Appomattox River",20802070205,"Appomattox River-Ducker Creek","JA-B","JA05",NA
"2-APP143.57","SSTUDY","STREAM","SCRO","Blue Ridge","STA #1 RT. 618 BRIDGE APPOMATTOX COUNTY",2,"RB","AMBNT",37.33916667,-78.65944444,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Suanee Creek-Appomattox River",20802070202,"Appomattox River-Suanee Creek","JA-B","JA02",NA
"2-APP152.57","AWTSHD","STREAM","SCRO","Blue Ridge","Appomattox R @ rt 616",2,"AW","AMBNT",37.36722222,-78.74861111,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Wolf Creek-Appomattox River",20802070201,"Appomattox River-Wolf Creek","JA-B","JA01",NA
"2-AUS001.12","SSTUDY","STREAM","SCRO","Blue Ridge","Austin Creek @ Rt. 607",2,"RB","AMBNT",37.54222222,-78.65777778,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Meadow Creek-North River",20802031302,"North River-Meadow Creek","JM-M","JM52",NA
"2-BAR000.60","SSTUDY","STREAM","WCRO","Blue Ridge","RT. 614 BRIDGE",2,"TM","AMBNT",37.53583333,-80.045,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Barbours Creek",20802011202,"Barbours Creek","JU-L","JU47",NA
"2-BCR007.68","APROB","STREAM","SCRO","Blue Ridge","Beaver Ck just downstream of Hwy 501",2,"FP","AMBNT",37.32308333,-79.10047222,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Beaver Creek",20802030306,"Beaver Creek","JM-C","JM12",NA
"2-BFC001.11","AWTSHD","STREAM","SCRO","Blue Ridge","Buffalo Cr @ rt 626",2,"AW","AMBNT",37.51222222,-78.34472222,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS",2080205,"Middle James Willis","Buffalo Creek-Willis River",20802050204,"Willis River-Buffalo Creek","JM-Q","JM66",NA
"2-BFL002.00","AWTSHD","STREAM","SCRO","Blue Ridge","BUS. RT. 460 BRIDGE-PRINCE EDWARD CO/FAR",2,"RB","AMBNT",37.30361111,-78.40666667,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Locket Creek-Buffalo Creek",20802070103,"Buffalo Creek-Locket Creek","JA-A","JA08",NA
"2-BFL009.69","BIOMON","STREAM","SCRO","Blue Ridge","Buffalo Cr @ rt648",2,"RB","AMBNT",37.27055555,-78.48083333,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Locket Creek-Buffalo Creek",20802070103,"Buffalo Creek-Locket Creek","JA-A","JA08",NA
"2-BFL011.03","ATRND","STREAM","SCRO","Blue Ridge","Rt. 658 Bridge",2,"TR","AMBNT",37.2575,-78.48666667,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Locket Creek-Buffalo Creek",20802070103,"Buffalo Creek-Locket Creek","JA-A","JA08","2039000"
"2-BFL016.60","AWTSHD","STREAM","SCRO","Blue Ridge","Buffalo Creek @ rt 666",2,"AW","AMBNT",37.20611111,-78.53694444,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Little Buffalo Creek-Buffalo Creek",20802070102,"Buffalo Creek-Little Buffalo Creek","JA-A","JA07",NA
"2-BFL016.79","APROB","STREAM","SCRO","Blue Ridge","Buffalo Ck. above Rt.686",2,"FP","AMBNT",37.20416667,-78.53916667,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Little Buffalo Creek-Buffalo Creek",20802070102,"Buffalo Creek-Little Buffalo Creek","JA-A","JA07","VAEQ99-004"
"2-BGC000.58","AWTSHD","STREAM","SCRO","Blue Ridge","BEAR GARDEN CREEK, RT 670 BRIDGE",2,"RB","AMBNT",37.7025,-78.29361111,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Bear Garden Creek-James River",20802031502,"James River-Bear Garden Creek","JM-O","JM58",NA
"2-BGU005.67","AWTSHD","STREAM","SCRO","Blue Ridge","Big Guinea Cr @ rt 639, Putney Rd",2,"AW","AMBNT",37.42166667,-78.27027778,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Big Guinea Creek",20802070404,"Big Guinea Creek","JA-D","JA18",NA
"2-BIO000.45","AWTSHD","STREAM","SCRO","Blue Ridge","Bigger Creek @ rt 615",2,"AW","AMBNT",37.60972222,-78.2075,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS",2080205,"Middle James Willis","Trice Lake-Willis River",20802050303,"Willis River-Trice Lake","JM-R","JM70",NA
"2-BKL000.15","AWTSHD","STREAM","WCRO","Blue Ridge","rT. 743 bRIDGE NEAR gALA",2,"AW","AMBNT",37.68949167,-79.81748333,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Black Lick-James River",20802010904,"James River-Black Lick","JU-I","JU40",NA
"2-BKW000.40","SSTUDY","STREAM","SCRO","Blue Ridge","Blackwater Cr @ Rivermont Ave",2,"RB","AMBNT",37.41944444,-79.14611111,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Blackwater Creek",20802030304,"Blackwater Creek","JM-C","JM10",NA
"2-BKW004.87","SSTUDY","STREAM","SCRO","Blue Ridge","Blackwater cr before Ivy Cr conf",2,"RB","AMBNT",37.4175,-79.18444444,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Blackwater Creek",20802030304,"Blackwater Creek","JM-C","JM10",NA
"2-BLO001.85","AWTSHD","STREAM","PRO","Blue Ridge","BLAND CREEK, RT. 610 BRIDGE",7114,"TM","AMBNT",37.19361111,-77.95166667,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Cellar Creek",20802070702,"Cellar Creek","JA-G","JA30",NA
"2-BMT000.07","SSTUDY","STREAM","SCRO","Blue Ridge","Brown Mt Cr @ rt 636",2,"RB","AMBNT",37.69472222,-79.27638889,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Lynchburg Reservoir-Pedlar River",20802030201,"Pedlar River-Lynchburg Reservoir","JM-B","JM04",NA
"2-BOW001.99","SSTUDY","STREAM","SCRO","Blue Ridge","Bowler Creek @ rt 620",2,"RB","AMBNT",37.29083333,-78.69388889,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Suanee Creek-Appomattox River",20802070202,"Appomattox River-Suanee Creek","JA-B","JA02",NA
"2-BRI001.00","AWTSHD","STREAM","SCRO","Blue Ridge","BRIERY CREEK, BUS  RT. 460 BRIDGE",2,"TM","AMBNT",37.28055555,-78.36388889,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Briery Creek",20802070301,"Briery Creek","JA-C","JA10",NA
"2-BRI010.78","AWTSHD","RESERV","SCRO","Blue Ridge","BRIERY CREEK LAKE STA.#1 AT DAM PRINCE E",2,"RL","AMBNT",37.20166667,-78.44527778,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Briery Creek",20802070301,"Briery Creek","JA-C","JA10",NA
"2-BRI013.12","AWTSHD","RESERV","SCRO","Blue Ridge","BRIERY CREEK LAKE UPPER END OF LAKE PRIN",2,"RL","AMBNT",37.17805556,-78.46083333,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Briery Creek",20802070301,"Briery Creek","JA-C","JA10",NA
"2-BRK001.00","AWTSHD","STREAM","SCRO","Blue Ridge","Bonbrook Cr @ Rt 624",2,"AW","AMBNT",37.58961111,-78.24497222,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS",2080205,"Middle James Willis","Bonbrook Creek-Willis River",20802050301,"Willis River-Bonbrook Creek","JM-R","JM68",NA
"2-BSB000.20","BIOMON","STREAM","WCRO","Blue Ridge","Dnstr of Green Pasture Rd",2,"RB","AMBNT",37.83333333,-79.66666667,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Simpson Creek-Cowpasture River",20802010803,"Cowpasture River-Simpson Creek","JU-H","JU36",NA
"2-BSR002.82","AWTSHD","STREAM","SCRO","Blue Ridge","BUSH RIVER, RT. 460 BRIDGE",2,"AW","AMBNT",37.27833333,-78.35138889,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Millers Creek-Bush River",20802070304,"Bush River-Millers Creek","JA-C","JA13",NA
"2-BSR012.33","APROB","STREAM","SCRO","Blue Ridge","Bush river northeast of Rte 715",2,"FP","AMBNT",37.1725,-78.39427778,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Evans Creek-Bush River",20802070302,"Bush River-Evans Creek","JA-C","JA11",NA
"2-BSR017.69","SSTUDY","STREAM","SCRO","Blue Ridge","Bush R @ Rt 634",2,"PA","AMBNT",37.1125,-78.43055556,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Evans Creek-Bush River",20802070302,"Bush River-Evans Creek","JA-C","JA11",NA
"2-BTC000.16","AWTSHD","STREAM","SCRO","Blue Ridge","OFF ROUTE 26, NEAR CONFLUENCE WITH JAMES",2,"AW","AMBNT",37.53388889,-78.82916667,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Bent Creek",20802030406,"Bent Creek","JM-D","JM18",NA
"2-BUF011.95","TMDL","STREAM","SCRO","Blue Ridge","Rt 739 Bridge Boxwood Farm Road",10120,"TM","AMBNT",37.596,-79.005,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Stonewall Creek-Buffalo River",20802030602,"Buffalo River-Stonewall Creek","JM-F","JM29",NA
"2-BUF026.43","BIOMON","STREAM","SCRO","Blue Ridge","Buffalo River @ Rt 60",10120,"TM","AMBNT",37.65833333,-79.145,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","North Fork Buffalo River-Buffalo River",20802030601,"Buffalo River-North Fork Buffalo River","JM-F","JM28",NA
"2-BUF026.58","TMDL","STREAM","SCRO","Blue Ridge","At Route 610",10120,"TM","AMBNT",37.656,-79.15,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","North Fork Buffalo River-Buffalo River",20802030601,"Buffalo River-North Fork Buffalo River","JM-F","JM28",NA
"2-BUF030.41","TMDL","STREAM","SCRO","Blue Ridge","Rt. 60 Near Forks of the Buffalo",10120,"TM","AMBNT",37.679,-79.222,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","North Fork Buffalo River-Buffalo River",20802030601,"Buffalo River-North Fork Buffalo River","JM-F","JM28",NA
"2-BUN000.04","SSTUDY","STREAM","SCRO","Blue Ridge","Burton Cr-off rhonda rd near conf-tmahwk",2,"RB","AMBNT",37.38527778,-79.21111111,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Blackwater Creek",20802030304,"Blackwater Creek","JM-C","JM10",NA
"2-BYN001.90","APROB","STREAM","SCRO","Blue Ridge","Bryant Creek S of Shumaker Rd Off Hwy 60",2,"FP","AMBNT",37.5415,-78.53069444,2,"Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO",2080203,"Middle James Buffalo","Horsepen Creek-Slate River",20802031303,"Slate River-Horsepen Creek","JM-M","JM53",NA
"2-CAT000.34","AWTSHD","STREAM","WCRO","Blue Ridge","BRIDGE NEAR SALISBURY FURNACE-BOTETOURT",2,"QA","AMBNT",37.60194445,-79.78666667,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Town Branch-Catawba Creek",20802011302,"Catawba Creek-Town Branch","JU-M","JU53",NA
"2-CAT023.83","AWTSHD","STREAM","WCRO","Blue Ridge","GAGE NEAR CATAWBA, ROUTE 779 BRIDGE",2,"AW","AMBNT",37.46666667,-80.00555556,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Little Catawba Creek-Catawba Creek",20802011301,"Catawba Creek-Little Catawba Creek","JU-M","JU52",NA
"2-CAT025.14","BIOMON","STREAM","WCRO","Blue Ridge","Andy Lane Trail crossing off Rt. 729",2,"RB","AMBNT",37.453425,-80.00801944,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Little Catawba Creek-Catawba Creek",20802011301,"Catawba Creek-Little Catawba Creek","JU-M","JU52",NA
"2-CAT026.29","APROB","STREAM","WCRO","Blue Ridge","Downstr of Hogan Hollow",NA,"FP","AMBNT",37.43588889,-80.01784167,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Little Catawba Creek-Catawba Creek",20802011301,"Catawba Creek-Little Catawba Creek","JU-M","JU52","VA-1028"
"2-CAT027.64","SSTUDY","STREAM","WCRO","Blue Ridge","Hogan Hollow Rd. (Rt. 737)",2,"TM","AMBNT",37.42594444,-80.02176944,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Little Catawba Creek-Catawba Creek",20802011301,"Catawba Creek-Little Catawba Creek","JU-M","JU52",NA
"2-CAT034.61","SSTUDY","STREAM","WCRO","Blue Ridge","Catawba Sust. Center",2,"RB","AMBNT",37.38333056,-80.09999722,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Little Catawba Creek-Catawba Creek",20802011301,"Catawba Creek-Little Catawba Creek","JU-M","JU52",NA
"2-CBH000.29","AWTSHD","STREAM","SCRO","Blue Ridge","Cabin Branch @ Rt. 602",2,"RB","AMBNT",37.3499,-78.6058,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Vaughans Creek",20802070204,"Vaughans Creek","JA-B","JA04",NA
"2-CLR001.23","TMDL","STREAM","PRO","Blue Ridge","Cellar Cr off Paulett Lane",7114,"TM","AMBNT",37.23083333,-77.95,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Cellar Creek",20802070702,"Cellar Creek","JA-G","JA30",NA
"2-CLR007.04","TMDL","STREAM","PRO","Blue Ridge","Cellar Creek at Rt. 607",7114,"TM","AMBNT",37.1675,-77.99055556,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Cellar Creek",20802070702,"Cellar Creek","JA-G","JA30",NA
"2-CNE000.96","SSTUDY","STREAM","SCRO","Blue Ridge","Crane Creek @ rt 600",2,"RB","AMBNT",37.32027778,-78.6475,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Vaughans Creek",20802070204,"Vaughans Creek","JA-B","JA04",NA
"2-CRG001.20","AWTSHD","STREAM","WCRO","Blue Ridge","ROUTE 818, NEAR BESSEMER - BOTETOURT COU",2,"TR","AMBNT",37.64888889,-79.83138889,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Roaring Run-Craig Creek",20802011205,"Craig Creek-Roaring Run","JU-L","JU50",NA
"2-CRG014.92","APROB","STREAM","WCRO","Blue Ridge","Off Rt. 615 near RR trestle",NA,"FP","AMBNT",37.6438,-79.9216,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Mill Creek-Craig Creek",20802011203,"Craig Creek-Mill Creek","JU-L","JU48","VARS11-194"
"2-CRG015.50","APROB","STREAM","WCRO","Blue Ridge","Off Rt. 615, upstr of Hipes",2,"FP","AMBNT",37.6487,-79.92969444,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Mill Creek-Craig Creek",20802011203,"Craig Creek-Mill Creek","JU-L","JU48","VARS11-275"
"2-CRG016.90","AWTSHD","STREAM","WCRO","Blue Ridge","Rt. 817 Pull off from Rt. 615",2,"PA","AMBNT",37.64663889,-79.94880556,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Mill Creek-Craig Creek",20802011203,"Craig Creek-Mill Creek","JU-L","JU48",NA
"2-CRG026.85","APROB","STREAM","WCRO","Blue Ridge","Oriskany canoe launch",2,"PA","AMBNT",37.61763889,-79.9895,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Mill Creek-Craig Creek",20802011203,"Craig Creek-Mill Creek","JU-L","JU48",NA
"2-CRG028.87","APROB","STREAM","WCRO","Blue Ridge","Upstr. of Slippery Ford",NA,"FP","AMBNT",37.59467222,-79.99886667,2,"Mid Atlantic","James River Basin","UPPER JAMES",2080201,"Upper James","Mill Creek-Craig Creek",20802011203,"Craig Creek-Mill Creek","JU-L","JU48","VA-1304"
