"ID305B_1","ID305B_2","ID305B_3","DEPTH","STATION_ID","REGION","STATION_TYPE_1","STATION_TYPE_2","STATION_TYPE_3","STATION_LAT","STATION_LON","WATERSHED_ID","VAHU6","TEMP_VIO","TEMP_SAMP","TEMP_STAT","DO_VIO","DO_SAMP","DO_STAT","PH_VIO","PH_SAMP","PH_STAT","ECOLI_VIO","ECOLI_SAMP","ECOLI_STAT","ENTER_SAMP","ENTER_VIO","ENTER_STAT","WAT_MET_VIO","WAT_MET_STAT","WAT_TOX_VIO","WAT_TOX_STAT","SED_MET_VIO","SED_MET_STAT","SED_TOX_VIO","SED_TOX_STAT","FISH_MET_VIO","FISH_MET_STAT","FISH_TOX_VIO","FISH_TOX_STAT","BENTHIC_STAT","NUT_TP_VIO","NUT_TP_SAMP","NUT_TP_STAT","NUT_CHLA_VIO","NUT_CHLA_SAMP","NUT_CHLA_STAT","COMMENTS"
"VAW-I22R_BAR01A00",,,"S","2-BAR000.60","BRRO","FPM","A",,"37.53583333","-80.045","I22","JU47",2,11,"Review",0,11,"S",0,11,"S",2,11,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,11,,,11,,"Not Analyzed by App"
"VAW-H05R_BCR01A00",,,"S","2-BCR007.68","BRRO","FPM",,,"37.32308333","-79.10047222","H05","JM12",0,2,"S",0,2,"S",0,2,"S",0,1,"S",1,0,"S",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,2,,,2,,"Not Analyzed by App"
"VAW-I18R_BKL01A02",,,"S","2-BKL000.15","BRRO","A",,,"37.68949167","-79.81748333","I18","JU40",0,10,"S",0,10,"S",0,10,"S",1,10,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,10,,,10,,"Not Analyzed by App"
"VAW-H03R_BKW01A00",,,"S","2-BKW000.40","BRRO","A","TM","B","37.41944444","-79.14611111","H03","JM10",0,15,"S",0,15,"S",0,15,"S",4,12,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,12,,,12,,"Not Analyzed by App"
"VAW-H03R_BKW01A00",,,"S","2-BKW004.87","BRRO","B",,,"37.4175","-79.18444444","H03","JM10",0,3,"S",0,3,"S",0,3,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-H02R_BMT01A00","VAW-H02R_BMT02A06",,"S","2-BMT000.07","BRRO","B",,,"37.69472222","-79.27638889","H02","JM04",0,4,"S",0,4,"S",0,4,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-H07R_BTC01A00",,,"S","2-BTC000.16","BRRO","A","TM",,"37.53388889","-78.82916667","H07","JM18",0,12,"S",0,12,"S",0,12,"S",2,12,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-H11R_BUF04A08",,,"S","2-BUF026.43","BRRO","B","TM",,"37.65833333","-79.145","H11","JM28",0,18,"S",0,17,"S",0,18,"S",9,12,"Review",,,,,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,18,,,18,,"Not Analyzed by App"
"VAW-H11R_BUF04A08",,,"S","2-BUF026.58","BRRO","TM",,,"37.656","-79.15","H11","JM28",0,12,"S",0,11,"S",0,12,"S",7,12,"Review",,,,,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-H11R_BNF01A02",,,"S","2-BUF030.41","BRRO","TM","B",,"37.679","-79.222","H11","JM28",0,12,"S",0,11,"S",1,12,"S",1,12,"S",,,,,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
