"FDT_STA_ID","STA_LV3_CODE","STA_LV1_CODE","STA_REC_CODE","Deq_Region","STA_DESC","FDT_SSC_CODE","FDT_SPG_CODE","STA_LV2_CODE","Latitude","Longitude","Majorbasincode","Majorbasinname","Basin","Subbasin","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu5","Huc6_Vahu6","STA_CBP_NAME","STATION_ID","ID305B_1","ID305B_2","ID305B_3","DEPTH","REGION","STATION_TYPE_1","STATION_TYPE_2","STATION_TYPE_3","STATION_LAT","STATION_LON","WATERSHED_ID","VAHU6","TEMP_VIO","TEMP_SAMP","TEMP_STAT","DO_VIO","DO_SAMP","DO_STAT","PH_VIO","PH_SAMP","PH_STAT","ECOLI_VIO","ECOLI_SAMP","ECOLI_STAT","ENTER_VIO","ENTER_SAMP","ENTER_STAT","WAT_MET_VIO","WAT_MET_STAT","WAT_TOX_VIO","WAT_TOX_STAT","SED_MET_VIO","SED_MET_STAT","SED_TOX_VIO","SED_TOX_STAT","FISH_MET_VIO","FISH_MET_STAT","FISH_TOX_VIO","FISH_TOX_STAT","BENTHIC_STAT","NUT_TP_VIO","NUT_TP_SAMP","NUT_TP_STAT","NUT_CHLA_VIO","NUT_CHLA_SAMP","NUT_CHLA_STAT","Notes","X__1","Point.Unique.Identifier","Buffer.Distance","OBJECTID","GNIS_ID","GNIS_Name","FType","FCode","BASIN","WQS_COMMEN","WATER_NAME","SEC","CLASS","SPSTDS","SECTION_DE","Basin_Code","PWS","Trout","Edit_Date","StreamType","Tier_III","Backlog","Shape_Leng"
"2-ANG001.27","SSTUDY","STREAM","PRO","Blue Ridge","ANGOLA CREEK AT RT. 673",2,"RB","AMBNT",37.37472222,-78.26166667,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Angola Creek-Appomattox River",20802070402,"Appomattox River-Angola Creek","JA-D","JA16",NA,"2-ANG001.27","VAC-J06R_ANG02A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-ANG001.27","10 m",63279,"01462483","Angola Creek",460,46006,"2D",NA,"Angola Creek","5c","III",NA,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.","Appomattox",NA,NA,NA,"Perennial",NA,NA,703.784284081
"2-APP085.85","ATRND","STREAM","SCRO","Blue Ridge","RT 621 BRIDGE - CUMBERLAND/AMELIA LINE",2,"TR","AMBNT",37.45222222,-78.14944444,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Little Guinea Creek-Appomattox River",20802070405,"Appomattox River-Little Guinea Creek","JA-D","JA19",NA,"2-APP085.85","VAC-J06R_APP05A02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-APP085.85","50 m",73574,"01501617","Appomattox River",558,55800,"2D",NA,"Appomattox River","5c","III",NA,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.","Appomattox",NA,NA,NA,"Artificial Path",NA,NA,682.948278506
"2-APP110.93","ATRND","STREAM","SCRO","Blue Ridge","RT.45 BRIDGE AT FARMVILLE",45128,"CB","AMBNT",37.30725,-78.38925,2,"Mid Atlantic","James River Basin","APPOMATTOX",2080207,"Appomattox","Bad Luck Branch-Appomattox River",20802070206,"Appomattox River-Bad Luck Branch","JA-B","JA09",NA,"2-APP110.93","VAC-J01R_APP05B14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-APP110.93","10 m",74320,"01501617","Appomattox River",558,55800,"2D",NA,"Appomattox River","5c","III",NA,"Appomattox River from the head of tidal waters, and free flowing tributaries to the Appomattox River, to their headwaters, unless otherwise designated in this chapter.","Appomattox",NA,NA,NA,"Artificial Path",NA,NA,243.138181374
"4AAAR004.72","AWTSHD","STREAM","SCRO","Blue Ridge","RT. 601 BRIDGE MECKLENBURG/HALIFAX CO",2,"TM","AMBNT",36.62833333,-78.71,3,"South Atlantic-Gulf","Roanoke River Basin","LOWER DAN",3010104,"Lower Dan","Aarons Creek-John H Kerr Reservoir",30101040702,"Aarons Creek-John H Kerr Reservoir","RD-S","RD75",NA,"4AAAR004.72","VAW-L73R_AAR01A00",NA,NA,"S","BRRO","TM",NA,NA,36.6283333,-78.71,"L73R","RD75",0,12,"S",1,12,"S",0,12,"S",1,12,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,"S",NA,NA,NA,"2014/2016/2018 Cycle: No new data since 2011.",NA,"4AAAR004.72","30 m",14671,"01023788","Aarons Creek",460,46006,"4A",NA,"Aarons Creek","1","III","PWS","Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section","Roanoke","Yes",NA,NA,"Perennial",NA,NA,1808.93069771
"4AAAR006.20","AWTSHD","STREAM","SCRO","Blue Ridge","Aarons Creek @ Rt. 602",2,"AW","AMBNT",36.61083333,-78.71111111,3,"South Atlantic-Gulf","Roanoke River Basin","LOWER DAN",3010104,"Lower Dan","Aarons Creek-John H Kerr Reservoir",30101040702,"Aarons Creek-John H Kerr Reservoir","RD-S","RD75",NA,"4AAAR006.20","VAW-L73R_AAR02A10",NA,NA,"S","BRRO","A",NA,NA,36.61083,-78.7111,"L73R","RD75",0,12,"S",0,12,"S",0,12,"S",3,12,"IM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,"S",0,0,NA,"2016 Cycle: DO Delist/EC Impairment. No new data since 2014.",NA,"4AAAR006.20","20 m",43431,"01023788","Aarons Creek",558,55800,"4A",NA,"Aarons Creek","1","III","PWS","Lake Gaston and the John Kerr Reservoir in Virginia and their tributaries in Virginia, unless otherwise designated in this chapter (not including the Roanoke or the Dan Rivers). The Roanoke River Service Authority's water supply intake is in this section","Roanoke","Yes",NA,NA,"Artificial Path",NA,NA,798.478784462
"4AACC002.60","SSTUDY","STREAM","SCRO","Blue Ridge","STA 1 - RT. 654 BRIDGE",2,"RB","AMBNT",37.03222222,-78.56416667,3,"South Atlantic-Gulf","Roanoke River Basin","MIDDLE ROANOKE",3010102,"Middle Roanoke","Ash Camp Creek-Roanoke Creek",30101020502,"Roanoke Creek-Ash Camp Creek","RU-T","RU82",NA,"4AACC002.60","VAW-L39R_ACC01A98",NA,NA,"S","BRRO","B","TM","SS",37.032222,-78.564167,"L39R","RU82",0,2,"S",0,2,"S",0,2,"S",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IM",0,0,NA,0,0,NA,"Observed Effects Benthics
2006 FC bacteria: FC Geo Mean 2/3 Violation Rate - Ash Camp Creek Source Assessment
The benthic TMDL completed in 2004 identified sediment as the stressor to the benthic community.
2008/2011 Bio Only, No new bacteria data
A slight improvement in the benthic community has been noted at this site. Sediment continues to affect the stream community negatively.",NA,"4AACC002.60","40 m",16315,"01462583","Ash Camp Creek",460,46006,"4A",NA,"Ash Camp Creek","5h","III",NA,"Ash Camp Creek and that portion of Little Roanoke Creek from its confluence with Ash Camp Creek to the Route 47 bridge.","Roanoke",NA,NA,NA,"Perennial",NA,NA,963.412598294
"5ABEC000.37","BIOMON","STREAM","SCRO","Blue Ridge","Bears Element Creek @ Rte. 643",2,"RB","AMBNT",36.83480556,-78.22311111,3,"South Atlantic-Gulf","Chowan and Dismal Swamp River Basin","MEHERRIN",3010204,"Meheriin","Mason Creek-Meherrin River",30102040301,"Meherrin River-Mason Creek","CM-C","CM08",NA,"5ABEC000.37","VAC-K03R_BEC01A14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ABEC000.37","User Selected",2583,"01462908","Bears Element Creek",460,46006,"5A",NA,"Mason Creek","3","III",NA,"Meherrin River and its tributaries in Virginia from the Virginia/North Carolina state line to its headwaters, unless otherwise designated in this chapter.","Chowan-Dismal",NA,NA,NA,"Perennial",NA,NA,605.638709161
"5ABEC007.34","BIOMON","STREAM","SCRO","Blue Ridge","Bears Element at 635 Oral Oaks Rd",2,"RB","AMBNT",36.91733333,-78.20111111,3,"South Atlantic-Gulf","Chowan and Dismal Swamp River Basin","MEHERRIN",3010204,"Meheriin","Mason Creek-Meherrin River",30102040301,"Meherrin River-Mason Creek","CM-C","CM08",NA,"5ABEC007.34","VAC-K03R_BEC01A14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ABEC007.34","10 m",5693,"01462908","Bears Element Creek",460,46006,"5A",NA,"Mason Creek","3","III",NA,"Meherrin River and its tributaries in Virginia from the Virginia/North Carolina state line to its headwaters, unless otherwise designated in this chapter.","Chowan-Dismal",NA,NA,NA,"Perennial",NA,NA,174.802478915
"5ABHC006.57","AWTSHD","STREAM","SCRO","Blue Ridge","N.E. OF VICTORIA LAGOON AT RT. 652 BR",2,"RB","AMBNT",36.98694445,-78.16916667,3,"South Atlantic-Gulf","Chowan and Dismal Swamp River Basin","NOTTOWAY",3010201,"Nottoway","Big Hounds Creek",30102010103,"Big Hounds Creek","CU-A","CU03",NA,"5ABHC006.57","VAC-K14R_BHC01B98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ABHC006.57","40 m",11015,"01463362","Big Hounds Creek",460,46006,"5A",NA,"Big Hounds Creek","2b","III",NA,"Nottoway River from the end of tidal waters to its headwaters and its free flowing tributaries in Virginia, unless otherwise designated in this chapter.","Chowan-Dismal",NA,NA,NA,"Perennial",NA,NA,163.969069083
"9-ADR000.13","AWTSHD","STREAM","WCRO","Blue Ridge","RT. 648 BRIDGE",2,"TM","AMBNT",37.37406111,-80.86948611,5,"Ohio","New River Basin","MIDDLE NEW",5050002,"Middle New","Adair Run-Bluestone Lake",50500021001,"New River/Bluestone Lake-Adair Run","NE-Y","NE85",NA,"9-ADR000.13","VAW-N35R_ADR01A00",NA,NA,"S,B","BRRO","A","TM",NA,37.373889,-80.869444,"N35R","NE85",0,12,"S",0,12,"S",0,12,"S",2,12,"IM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,"S",0,0,NA,"2014/2016 Cycle:  2004 Bacteria (FC 6/26) Listed.  No additional Benthic data beyond 2010 IR.  

Supplemental Watershed Information:  9-NEW028.95-  New River PCB 2010 water column results Dry 178 pg/L- 'FS'; Wet 710 pg/L- 'OE'.

Outside Data Window: One VSCI survey (2001 Spring).  Bio 'FS' One spring 2001 VSCI survey with a score of 75.1.  The dominant land use is forest.  Instream and riparian habitat provide conditions suitable for a diverse benthic community that is dominated by pollution sensitive organisms.
AQ 1999 and 2000 sediment reveals no excursions of PEC SVs.",NA,"9-ADR000.13","User Selected",69,"01481258","Adair Run",334,33400,"9",NA,"Adair Run","1","IV","u","New River and its tributaries, unless otherwise designated in this chapter, from the Virginia/West Virginia state line to the Montgomery/Giles County line.","New",NA,NA,NA,"Connector",NA,NA,350.503467189
