FDT_STA_ID,STA_LV3_CODE,STA_LV1_CODE,STA_REC_CODE,Deq_Region,STA_DESC,FDT_SSC_CODE,FDT_SPG_CODE,FDT_DATE_TIME,FDT_DEPTH,FDT_DEPTH_DESC,FDT_PERCENT_FRB,FDT_COMMENT,FDT_TEMP_CELCIUS,FDT_TEMP_CELCIUS_RMK,FDT_FIELD_PH,FDT_FIELD_PH_RMK,DO,DO_RMK,FDT_SPECIFIC_CONDUCTANCE,FDT_SPECIFIC_CONDUCTANCE_RMK,FDT_SALINITY,FDT_SALINITY_RMK,NITROGEN,RMK_00600,AMMONIA,RMK_AMMONIA,NH3_DISS,RMK_00608,NH3_TOTAL,RMK_00610,PHOSPHORUS,RMK_00665,FECAL_COLI,RMK_31616,E.COLI,RMK_ECOLI,ENTEROCOCCI,RMK_31649,CHLOROPHYLL,RMK_32211,SSC,SSC_RMK,NITRATE,RMK_00620,CHLORIDE,RMK_00940,SULFATE_TOTAL,RMK_00945,SULFATE_DISS,RMK_00946,STA_LV2_CODE,Latitude,Longitude,Majorbasincode,Majorbasinname,Basin,Subbasin,Huc6_Huc_8,Huc6_Huc_8_Name,Huc6_Name,Huc6_Huc_12,Huc6_Huc_12_Name,Huc6_Vahu5,Huc6_Vahu6,STA_CBP_NAME
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,2/9/2011,0.3,S,50,,0,,7.9,,14.5,,210,,0.01,,0.37,,,,,,,,0,U,25,U,25,,,,,,1,QQ,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,4/27/2011,0.3,S,50,,15.4,,8,,10.1,,160,,0.01,,0.32,,,,,,,,0,,150,,125,,,,,,4,,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,6/28/2011,0.3,S,50,,21.9,,8.1,,8.7,,211,,0.01,,0.7,,,,,,,,0,,50,,50,,,,,,2,QQ,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,8/16/2011,0.3,S,50,,20.2,,8,,9,,196,,0.01,,0.17,,,,,,,,0,,25,,75,,,,,,2,QQ,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,10/17/2011,0.3,S,50,,12.6,,7.9,,10.2,,216,,0.01,,0.2,,,,,,,,0,,50,,25,,,,,,1,QQ,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,12/19/2011,0.3,S,50,,2.1,,7.5,,13.3,,181,,0.01,,0.39,,,,,,,,0,U,25,U,25,,,,,,1,QQ,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,1/18/2012,0.3,S,50,,4.83,,7.51,,12.12,,157,,0.01,,0.44,,,,,,,,0,,175,,125,,,,,,4,,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,3/28/2012,0.3,S,50,,9.43,,7.86,,10.81,,160,,0.01,,0.3,,,,,,,,0,,100,,75,,,,,,5,,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,5/24/2012,0.3,S,50,,16.29,,7.87,,9.48,,162,,0.01,,0.35,,,,,,,,0,,325,,450,,,,,,12,,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
2-JKS058.60,ATRND,STREAM,VRO,Valley,ROUTE 603 AT GAGING STATION - BATH COUNT,2,TR,7/17/2012,0.3,S,50,,23.73,,7.94,,8.07,,200,,0.01,,0.28,,,,,,,,0,,50,,50,,,,,,2,QQ,,,,,,,,,AMBNT,38.0425,-79.88194444,2,Mid Atlantic,James River Basin,UPPER JAMES,2080201,Upper James,Warm Springs Run-Jackson River,20802010103,Jackson River-Warm Springs Run,JU-A,JU03,
